design_range_nm,spec_energy_whkg,converged,run_id,objective_value,MTOW_kg,MTOW_lb,fuel_burn_kg,fuel_burn_lb,fuel_mileage_lb_per_nmi,W_battery_kg,S_ref_m2,cruise_hybridization,climb_hybridization,descent_hybridization,electric_percent,engine_rating_hp,motor_rating_hp,generator_rating_hp,MTOW_margin_lb,rotate_range_ft,Vstall_kn,SOC_final,doc_per_nmi,wall_time_s,error,start_name,starts_tried
400.0,800.0,True,run-20260503T195526-802077b9,45.47005156905932,4520.537517151378,9966.06742106227,0.2646763975455365,0.5835108795568408,0.0014587771988921,1077.9246615425052,26.993704647047924,0.999,0.999,1.0,99.9,1.108906090579401,518.3231871491666,1.0756389078758963,1.6825651982799172e-11,1357.0000000000107,42.00000000000005,-1.5543122344752196e-15,,220.2011659690179,,low,"high=X(nan),low=OK(45.470)"
450.0,250.0,True,run-20260503T195758-aac47f28,345.4104496276658,4000.000000188544,8818.480000415668,305.4104496257804,673.3139854539878,1.496253301008862,162.62712784543754,23.885393756979028,0.0010000000407284,0.1498837367409405,0.0100000000080206,0.100000004072848,837.2648114707201,459.1112837242579,812.1468671262048,1.4870079212414566e-07,1357.0000002400045,42.000000000568775,-6.048693351745627e-10,,158.99889684602385,,low,"low=OK(345.410),high=X(nan)"
450.0,300.0,True,run-20260503T200037-bcec0680,338.8836432451875,4030.469561254387,8885.653804132646,298.57894763264363,658.2531195298787,1.462784710066397,219.07838444912272,24.06733812359205,0.001,0.2598282923235562,0.01,0.1,734.3669436535748,462.5727019978392,712.3359353440223,-1.1898873708560133e-07,1356.999999993045,41.999999999952216,2.2891791483237167e-09,,177.14121441502357,,low,"low=OK(338.884),high=X(-1009426232.329)"
450.0,350.0,True,run-20260503T200334-cae3b116,330.7416642323608,5699.999999999988,12566.333999999972,273.7416642323609,603.4963477999474,1.3411029951109943,1368.3509556764316,34.03668610300438,0.416524376685882,0.5681268910156337,0.010000000943061,41.652437668588206,599.6167097220304,652.4727598696232,581.6282084303845,2.508101715648081e-06,1357.0000000151344,42.000000000005045,-6.445666731261235e-09,,231.094494635996,,low,"high=OK(331.065),low=OK(330.742)"
450.0,400.0,True,run-20260503T200625-383f541e,295.72375077076447,5700.0,12566.334,238.7237507707645,526.2951554242428,1.1695447898316509,1434.2913475505882,34.03668610301876,0.5179442518871623,0.6429714896363872,0.0100000000875287,51.79442518871623,495.701759453724,652.4727598710855,480.8307066700864,2.5718054530443624e-07,1356.9999999995666,41.99999999999622,-5.503654246750975e-10,,165.8317863289849,,low,"low=OK(295.724),high=OK(295.724)"
450.0,450.0,True,run-20260503T200917-a21ab280,258.2683399259394,5700.0,12566.334,201.26833992593944,443.7202075675245,0.98604490570561,1499.6498321869278,34.03668610291786,0.6078312349696365,0.7093831880114092,0.0994548948296517,60.78312349696365,403.4951344974417,652.4727598706179,391.3902804624656,6.029677024343982e-06,1357.000000010501,42.00000000005847,-1.0933341093588568e-08,,120.96154420002132,,high,"high=OK(258.268),low=OK(258.268)"
450.0,500.0,True,run-20260503T201208-bdb99149,218.45943495972244,5699.999999999994,12566.333999999984,161.4594349597225,355.95669950090337,0.7910148877797852,1564.132054957126,34.03668610301899,0.6856840819924527,0.7669632282733989,0.2795025676695513,68.56840819924527,323.5504619580389,652.4727598723487,313.843948094806,5.707308446289972e-06,1356.9999999868555,41.99999999999606,-8.968562198452545e-09,,116.12426078197312,,high,"low=OK(218.459),high=OK(218.459)"
450.0,550.0,True,run-20260503T201344-f72b399a,174.86369785621733,5700.0,12566.334,117.86369785621731,259.8446655677738,0.5774325901506084,1635.461688457286,34.036686103029005,0.7707803424723105,0.8299774296786058,0.4755930537843168,77.07803424723106,236.0794396964312,652.4727598714932,228.99705646615567,-3.6447090678848326e-08,1356.9999999948564,41.999999999989896,-1.893201984071169e-10,,202.03501016600052,,low,"high=OK(174.864),low=OK(174.864)"
450.0,600.0,True,run-20260503T201600-fd6193bf,126.60217835944049,5700.0,12566.334,69.60217835944047,153.44635445478963,0.3409918987884214,1715.8816068451383,34.03668610488374,0.8647568179981068,0.899773217893695,0.6912695485343175,86.47568179981067,139.3727145490655,652.4727598783597,135.19153427240744,-1.981666173378472e-06,1356.9999998111352,41.99999999884555,-4.618962379243641e-09,,168.82642908598064,,low,"low=OK(126.602),high=OK(126.602)"
450.0,650.0,True,run-20260503T201849-f3df3649,71.18155783134429,5700.0,12566.334,14.181557831344298,31.264946026138265,0.0694776578358628,1813.635560773288,34.03668610301217,0.972472061408542,0.9796201776314412,0.9373201684932106,97.2472061408542,28.38767577113497,652.4727598710751,27.53604549437956,4.031393473269418e-06,1357.000000000081,42.00000000000029,-3.982174895389434e-09,,155.0648805440287,,low,"low=OK(71.182),high=OK(71.182)"
