design_range_nm,spec_energy_whkg,fuel_mileage_lb_per_nmi,fuel_mileage_lb_per_nmi_halfwidth,fuel_mileage_lb_per_nmi_colour_err,doc_per_nmi,doc_per_nmi_halfwidth,doc_per_nmi_colour_err,electric_percent,electric_percent_halfwidth,electric_percent_colour_err,MTOW_lb,MTOW_lb_halfwidth,MTOW_lb_colour_err
525.0,450.0,1.462006,0.005814,2.0,0.663192,0.010522,0.0,6.081041,0.291198,1.0,8913.91095,13.810789,1.0
525.0,500.0,1.27596,0.005814,1.0,0.663192,0.010522,0.0,31.706458,0.291198,1.41,10792.178204,13.810789,1.0
525.0,550.0,0.962006,0.005814,1.0,0.612688,0.010522,0.0,55.293489,0.291198,1.0,12573.769939,13.810789,0.0
525.0,600.0,0.80503,0.005814,1.0,0.562184,0.010522,0.0,63.447031,0.291198,1.0,12573.769939,13.810789,0.0
525.0,650.0,0.601541,0.005814,1.0,0.487481,0.009469,0.0,71.891771,0.291198,1.0,12573.769939,13.810789,0.0
525.0,700.0,0.392239,0.005814,1.0,0.412777,0.010522,0.0,81.7925,0.291198,1.73,12573.769939,13.810789,0.0
525.0,750.0,0.165495,0.005814,1.0,0.337022,0.010522,0.0,92.566824,0.291198,1.0,12573.769939,13.810789,0.0
525.0,800.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,12325.175743,13.810789,1.0
550.0,250.0,1.543402,0.005814,1.0,0.688444,0.010522,0.0,2.877864,0.291198,1.41,9065.829625,13.810789,1.41
550.0,300.0,1.52596,0.005814,1.0,0.688444,0.010522,0.0,3.751457,0.291198,0.0,9065.829625,13.810789,1.0
550.0,350.0,1.514332,0.005814,1.41,0.688444,0.010522,0.0,4.333853,0.291198,1.0,9038.208048,13.810789,0.0
550.0,400.0,1.49689,0.005814,1.41,0.688444,0.010522,0.0,5.207447,0.291198,1.41,9038.208048,13.810789,1.41
550.0,450.0,1.479448,0.005814,1.41,0.688444,0.010522,0.0,5.789843,0.291198,1.41,8969.154104,13.810789,1.41
550.0,500.0,1.462006,0.005814,2.0,0.663192,0.010522,0.0,6.372239,0.291198,0.0,8955.343316,13.810789,1.0
550.0,550.0,1.072471,0.005814,1.0,0.63794,0.010522,0.0,50.925521,0.291198,1.0,12573.769939,13.810789,0.0
550.0,600.0,0.915495,0.005814,1.41,0.587436,0.010522,0.0,58.496667,0.291198,1.0,12573.769939,13.810789,0.0
550.0,650.0,0.741076,0.005814,1.0,0.536932,0.010522,22.05,66.067813,0.291198,1.0,12573.769939,13.810789,0.0
550.0,700.0,0.537588,0.005814,1.0,0.463281,0.010522,0.0,74.80375,0.291198,1.41,12573.769939,13.810789,0.0
550.0,750.0,0.334099,0.005814,1.0,0.387525,0.010522,0.0,84.70448,0.291198,1.0,12573.769939,13.810789,0.0
550.0,800.0,0.101541,0.005814,1.41,0.31177,0.010522,0.0,95.187605,0.291198,0.0,12573.769939,13.810789,0.0
575.0,250.0,1.560843,0.005814,2.0,0.688444,0.010522,0.0,2.877864,0.291198,0.0,9176.315934,13.810789,1.0
575.0,300.0,1.543402,0.005814,1.0,0.688444,0.010522,0.0,3.460259,0.291198,1.0,9176.315934,13.810789,1.41
575.0,350.0,1.52596,0.005814,1.0,0.688444,0.010522,0.0,4.333853,0.291198,1.0,9107.261991,13.810789,1.0
575.0,400.0,1.514332,0.005814,1.41,0.688444,0.010522,0.0,5.207447,0.291198,1.41,9107.261991,13.810789,1.41
575.0,450.0,1.508518,0.005814,1.0,0.688444,0.010522,0.0,5.789843,0.291198,1.41,9065.829625,13.810789,1.41
575.0,500.0,1.491076,0.005814,1.41,0.663192,0.010522,0.0,6.081041,0.291198,1.0,9065.829625,13.810789,1.0
575.0,550.0,1.159681,0.005814,1.0,0.663192,0.010522,0.0,47.431146,0.291198,1.0,12573.769939,13.810789,0.0
575.0,600.0,1.014332,0.005814,1.0,0.612688,0.010522,0.0,53.8375,0.291198,1.0,12573.769939,13.810789,0.0
575.0,650.0,0.851541,0.005814,1.0,0.562184,0.010522,0.0,60.82625,0.291198,1.0,12573.769939,13.810789,0.0
575.0,700.0,0.671309,0.005814,1.41,0.487481,0.009469,0.0,68.979792,0.291198,1.0,12573.769939,13.810789,0.0
575.0,750.0,0.491076,0.005814,1.41,0.438029,0.010522,0.0,77.715729,0.291198,1.41,12573.769939,13.810789,0.0
575.0,800.0,0.270146,0.005814,1.0,0.362273,0.010522,0.0,87.325261,0.291198,1.0,12573.769939,13.810789,0.0
600.0,250.0,1.572471,0.005814,1.41,0.711591,0.010522,0.0,2.877864,0.291198,0.0,9272.991454,13.810789,1.41
600.0,300.0,1.560843,0.005814,2.0,0.688444,0.010522,0.0,3.460259,0.291198,1.0,9245.369877,13.810789,1.41
600.0,350.0,1.543402,0.005814,1.0,0.688444,0.010522,0.0,3.751457,0.291198,0.0,9217.7483,13.810789,0.0
600.0,400.0,1.537588,0.005814,0.0,0.688444,0.010522,0.0,4.625051,0.291198,1.0,9217.7483,13.810789,1.0
600.0,450.0,1.520146,0.005814,1.41,0.688444,0.010522,0.0,5.207447,0.291198,1.41,9176.315934,13.810789,1.0
600.0,500.0,1.508518,0.005814,1.0,0.688444,0.010522,0.0,6.081041,0.291198,1.0,9176.315934,13.810789,1.41
600.0,550.0,1.491076,0.005814,1.41,0.663192,0.010522,0.0,6.372239,0.291198,0.0,9134.883568,13.810789,1.0
600.0,600.0,1.095727,0.005814,0.0,0.63794,0.010522,0.0,49.178333,0.291198,1.41,12573.769939,13.810789,0.0
600.0,650.0,0.950378,0.005814,1.0,0.587436,0.010522,0.0,56.167083,0.291198,1.0,12573.769939,13.810789,0.0
600.0,700.0,0.80503,0.005814,1.0,0.536932,0.010522,0.0,63.447031,0.291198,1.0,12573.769939,13.810789,0.0
600.0,750.0,0.618983,0.005814,1.0,0.463281,0.010522,0.0,71.600573,0.291198,0.0,12573.769939,13.810789,0.0
600.0,800.0,0.432936,0.005814,1.41,0.412777,0.010522,0.0,80.336511,0.291198,1.0,12573.769939,13.810789,0.0
