fig,design_range_nm,spec_energy_whkg,source,metric,value,ref,ref_value,ref_halfwidth,err,rel_err,tol,within_tol
5,400.0,400.0,truth,fuel_mileage_lb_per_nmi,0.9578196340722818,paper,0.947814,0.044826,0.010005634072281722,0.01055653754036311,0.064826,True
5,400.0,450.0,truth,fuel_mileage_lb_per_nmi,0.7388300553353939,paper,0.75058,0.044826,-0.011749944664606105,-0.015654486749721686,0.064826,True
5,400.0,500.0,truth,fuel_mileage_lb_per_nmi,0.49827513863253264,paper,0.550357,0.041838,-0.05208186136746734,-0.09463286806103555,0.061838000000000004,True
5,400.0,550.0,truth,fuel_mileage_lb_per_nmi,0.22984979423355686,paper,0.248528,0.044826,-0.018678205766443134,-0.07515533769411549,0.064826,True
5,400.0,600.0,truth,fuel_mileage_lb_per_nmi,0.0017870176038914676,paper,0.054281,0.041838,-0.052493982396108536,-0.9670783956837298,0.061838000000000004,True
5,400.0,650.0,truth,fuel_mileage_lb_per_nmi,0.0016703180457177439,paper,0.054281,0.041838,-0.05261068195428226,-0.9692283110901099,0.061838000000000004,True
5,400.0,700.0,truth,fuel_mileage_lb_per_nmi,0.0015824459495472757,paper,0.054281,0.041838,-0.05269855405045273,-0.9708471481817343,0.061838000000000004,True
5,400.0,750.0,truth,fuel_mileage_lb_per_nmi,0.0015138371818341934,paper,0.054281,0.041838,-0.05276716281816581,-0.9721111036673202,0.061838000000000004,True
5,400.0,800.0,truth,fuel_mileage_lb_per_nmi,0.0014587789337135507,paper,0.054281,0.041838,-0.05282222106628645,-0.973125422639348,0.061838000000000004,True
5,425.0,250.0,truth,fuel_mileage_lb_per_nmi,1.4775338798740598,paper,1.449867,0.044826,0.027666879874059802,0.019082357122453163,0.07382334,True
5,425.0,300.0,truth,fuel_mileage_lb_per_nmi,1.4428796146805367,paper,1.449867,0.044826,-0.006987385319463302,-0.0048193284759659345,0.07382334,True
5,425.0,350.0,truth,fuel_mileage_lb_per_nmi,1.2583333292484689,paper,1.249643,0.041838,0.008690329248468798,0.006954249532441503,0.06683086,True
5,425.0,400.0,truth,fuel_mileage_lb_per_nmi,1.0686102779846496,paper,1.04942,0.044826,0.019190277984649562,0.018286556368898595,0.0658144,True
5,425.0,450.0,truth,fuel_mileage_lb_per_nmi,0.8710444273089992,paper,0.947814,0.044826,-0.07676957269100082,-0.08099645361959289,0.064826,False
