design_range_nm,spec_energy_whkg,objective,converged,feasible,start_name,starts_tried,objective_value,mixed_objective_kg,doc_per_nmi,trip_doc_usd,MTOW_kg,MTOW_lb,fuel_burn_kg,fuel_burn_lb,fuel_mileage_lb_per_nmi,W_battery_kg,W_battery_lb,S_ref_m2,S_ref_ft2,cruise_hybridization,climb_hybridization,descent_hybridization,electric_percent,electric_energy_frac,battery_energy_frac,engine_rating_hp,motor_rating_hp,generator_rating_hp,W_fuel_max_kg,OEW_kg,MTOW_margin_lb,rotate_range_ft,Vstall_kn,SOC_final,engineoutclimb_gamma,max_constraint_violation,n_iter,wall_time_s,error,src_objective,src_start_name,src_converged,assumed
300.0,750.0,fuel,True,True,rescore,rescore,40.68618742313393,40.68618742313393,0.25117998624433774,75.35399587330132,4052.190851187144,8933.551618378175,0.16427891126249497,0.36217300405397124,0.0012072433468465708,773.4701725469646,1705.2098396845875,24.19704351427326,260.4548087368644,0.9989999999999999,0.999,1.0,99.89999999999999,0.9992407494476203,0.9966288630384603,1.000000000067996,465.04025632687234,1.0000000000000395,500.0,2824.964029728683,5.156834959052503e-10,4452.099737531872,81.64146868250504,5.040412531798211e-14,0.03042933911919722,0.0,nan,5.215317249298096,,40.68618742313391,low,True,W_fuel_max=500kg
300.0,800.0,fuel,True,True,rescore,rescore,40.16225771187155,40.16225771187155,0.24492840735126722,73.47852220538016,4000.0000219952826,8818.490535691297,0.16225749191872058,0.3577165372405421,0.0011923884574684736,716.2336806453866,1579.0249748458962,23.885393908858724,257.10024030277935,0.9990000000000002,0.999,1.0,99.90000000000002,0.9992407820284156,0.9966289950255409,13.930274498704245,459.111313902436,1.00001591197381,500.0,2814.281256511049,34.67972211906522,4452.098405406013,81.64146864658659,-2.5636101999571004e-07,0.03042780559229574,2.5636101999571004e-07,nan,5.1460888385772705,,40.16225771187164,high,True,W_fuel_max=500kg
350.0,250.0,fuel,True,True,rescore,rescore,263.3870030516457,263.3870030516457,0.7119918758095831,249.1971565333541,4000.0,8818.4904872,223.38700305164568,492.4840403437637,1.4070972581250392,277.9925313767384,612.8686233646038,23.88539375653867,257.10023866321995,0.010632186901867792,0.26674088971057686,0.01,1.0632186901867793,0.09743274697343267,0.025385296271303984,722.1742208558941,459.1112837151728,700.5089942302011,500.0,3045.0280957579685,-4.1083808355324436e-07,4452.099737520412,81.64146868243947,7.19324018405576e-09,0.03042779945457029,4.1083808355324436e-07,nan,4.990626811981201,,263.38700305164554,low,True,W_fuel_max=500kg
350.0,300.0,fuel,True,True,rescore,rescore,241.22218615450143,241.22218615450143,0.7661762994083637,268.1617047929273,5700.0,12566.34894426,184.22218615450143,406.1403990336646,1.1604011400961847,1495.86844327273,3297.8254092758107,34.03668610301168,366.3678400944865,0.5408983937986017,0.6599238380284282,0.0100000015619181,54.08983937986017,0.47374148385269493,0.16939523489109584,472.1649620504206,652.4727598721031,458.0000131888947,500.0,3566.3169996092097,2.124284492310835e-06,4452.0997346775075,81.64146868250653,-5.8157936314029435e-09,0.03061689676845147,5.8157936314029435e-09,nan,4.525031566619873,,241.2221861542092,low,True,W_fuel_max=500kg
350.0,350.0,fuel,True,True,rescore,rescore,204.54380839133455,204.54380839133455,0.6862342526151571,240.181988415305,5700.0,12566.34894426,147.54380839133455,325.27841768606083,0.9293669076744595,1563.885121117898,3447.776515912951,34.036686103004286,366.36784009440686,0.6412066694307603,0.7340609019517847,0.1792205356227963,64.12066694307603,0.5790238444879114,0.2369842364262847,369.2323586743239,652.4727598710786,358.1553879140909,500.0,3534.978700304514,4.1061866795644164e-07,4452.099734712505,81.64146868251541,-9.095352596077966e-10,0.03061689676828624,9.095352596077966e-10,nan,4.554378509521484,,204.5438083911057,high,True,W_fuel_max=500kg
350.0,400.0,fuel,True,True,rescore,rescore,164.90111335482527,164.90111335482527,0.6007445618342528,210.2605966419885,5700.0,12566.34894426,107.90111335482526,237.88123541945384,0.679660672627011,1634.5818097682209,3603.636034997804,34.036686103011235,366.36784009448166,0.7378689818844077,0.8055903453594914,0.40119139846101,73.78689818844077,0.6925003598480645,0.33656715976480894,269.92020264661176,652.4727598710544,261.8225965671686,500.0,3503.924706837362,8.728557077120058e-08,4452.09973471158,81.64146868250707,-1.573823987799372e-10,0.030616896768287515,1.573823987799372e-10,nan,4.595787525177002,,164.90111335465716,high,True,W_fuel_max=500kg
350.0,450.0,fuel,True,True,rescore,rescore,121.14657724170686,121.14657724170686,0.5064977759936127,177.27422159776444,5700.0,12566.34894426,64.14657724170686,141.418995298108,0.4040542722803086,1714.1384956489862,3779.028504405976,34.036686103391695,366.3678400985769,0.8442960589078617,0.8845877127869224,0.6448713218192411,84.42960589078618,0.8174359342663579,0.5016802940652505,160.4376251956264,652.4727598732774,155.62449613833135,500.0,3468.1225577257987,-1.3591311471827794e-06,4452.099734560852,81.64146868205077,-3.6153019744578074e-09,0.030616896768910225,1.3591311471827794e-06,nan,4.314724683761597,,121.14657724160692,low,True,W_fuel_max=500kg
350.0,500.0,fuel,True,True,rescore,rescore,71.40354413913715,71.40354413913715,0.3997004075467874,139.89514264137557,5700.0,12566.34894426,14.403544139137157,31.754379243236585,0.09072679783781881,1809.9844292455016,3990.3326178203943,34.03668610306448,366.3678400950548,0.9650684191645359,0.9741372166872524,0.9204724679816364,96.5068419164536,0.9590692654045643,0.840262939812401,36.020867734388986,652.4727598709615,34.94024169648513,500.0,3422.0196555594307,2.3279285414901096e-06,4452.099734703373,81.64146868244322,-3.12356004950054e-09,0.030616896768311638,3.12356004950054e-09,nan,4.44469141960144,,71.40354413911464,high,True,W_fuel_max=500kg
350.0,550.0,fuel,True,True,rescore,rescore,53.62341135773883,53.62341135773883,0.33773840430593466,118.20844150707714,5336.072093580111,11764.025249062399,0.26269042193772285,0.5791332467340908,0.0016546664192402594,1607.637348346926,3544.2336658162,31.863545767058167,342.97635219534436,0.999,0.999,1.0,99.9,0.9992043151510025,0.9964639288207988,1.3023321143798208,611.1917054682298,1.263262150930589,500.0,3274.5796848112504,-8.640199666842818e-12,4452.099719438102,81.64146868250542,2.5131868808259128e-11,0.030587306553423343,8.640199666842818e-12,nan,4.645873785018921,,53.62341135773474,low,True,W_fuel_max=500kg
350.0,600.0,fuel,True,True,rescore,rescore,50.09036924280339,50.09036924280339,0.30671210793333414,107.34923777666695,4984.46027011438,10988.853868957502,0.2457665416595849,0.5418224774242729,0.0015480642212122083,1379.367345791552,3040.9844543042786,29.763949053828288,320.37648126291975,0.999,0.9989999999963888,1.0,99.9,0.9992047518286981,0.996465566473249,1.2190455996887033,571.2283566885875,1.182474229786877,500.0,3151.2547877805914,1.272837835131213e-09,4452.099633744544,81.64146868250526,1.4291662298049346e-10,0.0305487225282394,3.6181562059851864e-09,nan,4.597928524017334,,50.09036924278105,high,True,W_fuel_max=500kg
